wstd,lr_vanilla,lr_momentum,lr_rmsprop,reg,accuracy
0.01000,0.00003,nan,nan,0.00016,28.52000
0.01000,0.00005,nan,nan,0.00016,30.36000
0.01000,0.00007,nan,nan,0.00016,30.96000
0.01000,0.00009,nan,nan,0.00016,31.80000
0.01000,0.00011,nan,nan,0.00016,33.44000
0.01000,0.00013,nan,nan,0.00016,34.92000
0.01000,0.00015,nan,nan,0.00016,33.68000
0.01000,0.00017,nan,nan,0.00016,34.60000
0.01000,0.00019,nan,nan,0.00016,34.92000
0.01000,0.00021,nan,nan,0.00016,33.00000
0.01000,0.00023,nan,nan,0.00016,33.72000
0.01000,0.00026,nan,nan,0.00016,34.28000
0.01000,0.00028,nan,nan,0.00016,34.16000
0.01000,0.00030,nan,nan,0.00016,35.28000
0.01000,0.00032,nan,nan,0.00016,35.64000
0.01000,0.00034,nan,nan,0.00016,33.92000
0.01000,0.00036,nan,nan,0.00016,34.68000
0.01000,0.00038,nan,nan,0.00016,36.52000
0.01000,0.00040,nan,nan,0.00016,34.96000
0.01000,0.00042,nan,nan,0.00016,34.28000
0.01000,0.00044,nan,nan,0.00016,34.12000
0.01000,0.00046,nan,nan,0.00016,33.24000
0.01000,0.00048,nan,nan,0.00016,32.00000
0.01000,0.00050,nan,nan,0.00016,32.20000
0.01000,0.00001,nan,nan,0.00018,23.52000
0.01000,0.00003,nan,nan,0.00018,28.44000
0.01000,0.00005,nan,nan,0.00018,30.12000
0.01000,0.00007,nan,nan,0.00018,31.52000
0.01000,0.00009,nan,nan,0.00018,33.36000
0.01000,0.00011,nan,nan,0.00018,33.68000
0.01000,0.00013,nan,nan,0.00018,33.04000
0.01000,0.00015,nan,nan,0.00018,35.00000
0.01000,0.00017,nan,nan,0.00018,33.48000
0.01000,0.00019,nan,nan,0.00018,35.48000
0.01000,0.00021,nan,nan,0.00018,33.76000
0.01000,0.00023,nan,nan,0.00018,33.92000
0.01000,0.00026,nan,nan,0.00018,35.40000
0.01000,0.00028,nan,nan,0.00018,34.60000
0.01000,0.00030,nan,nan,0.00018,35.52000
0.01000,0.00032,nan,nan,0.00018,34.52000
0.01000,0.00034,nan,nan,0.00018,34.64000
0.01000,0.00036,nan,nan,0.00018,34.40000
0.01000,0.00038,nan,nan,0.00018,34.16000
0.01000,0.00040,nan,nan,0.00018,34.88000
0.01000,0.00042,nan,nan,0.00018,33.64000
0.01000,0.00044,nan,nan,0.00018,35.68000
0.01000,0.00046,nan,nan,0.00018,33.52000
0.01000,0.00048,nan,nan,0.00018,35.68000
0.01000,0.00050,nan,nan,0.00018,33.76000
0.01000,0.00001,nan,nan,0.00020,23.52000
0.01000,0.00003,nan,nan,0.00020,28.48000
0.01000,0.00005,nan,nan,0.00020,30.96000
0.01000,0.00007,nan,nan,0.00020,31.32000
0.01000,0.00009,nan,nan,0.00020,33.32000
0.01000,0.00011,nan,nan,0.00020,32.88000
0.01000,0.00013,nan,nan,0.00020,32.60000
0.01000,0.00015,nan,nan,0.00020,34.24000
0.01000,0.00017,nan,nan,0.00020,34.52000
0.01000,0.00019,nan,nan,0.00020,33.88000
0.01000,0.00001,nan,nan,0.00001,23.36000
0.01000,0.00010,nan,nan,0.00001,34.48000
0.01000,0.00100,nan,nan,0.00001,31.96000
0.01000,0.01000,nan,nan,0.00001,22.48000
0.01000,0.10000,nan,nan,0.00001,10.00000
0.01000,0.00001,nan,nan,0.00010,23.36000
0.01000,0.00010,nan,nan,0.00010,33.96000
0.01000,0.00100,nan,nan,0.00010,32.08000
0.01000,0.01000,nan,nan,0.00010,22.96000
0.01000,0.10000,nan,nan,0.00010,10.00000
0.01000,0.00001,nan,nan,0.00100,23.40000
0.01000,0.00010,nan,nan,0.00100,33.12000
0.01000,0.00100,nan,nan,0.00100,30.76000
0.01000,0.01000,nan,nan,0.00100,24.12000
0.01000,0.10000,nan,nan,0.00100,10.72000
0.01000,0.00001,nan,nan,0.01000,21.64000
0.01000,0.00010,nan,nan,0.01000,31.04000
0.01000,0.00100,nan,nan,0.01000,26.96000
0.01000,0.01000,nan,nan,0.01000,20.88000
0.01000,0.10000,nan,nan,0.01000,12.44000
0.01000,0.00001,nan,nan,0.10000,18.52000
0.01000,0.00010,nan,nan,0.10000,24.44000
0.01000,0.00100,nan,nan,0.10000,21.72000
0.01000,0.01000,nan,nan,0.10000,19.92000
0.01000,0.10000,nan,nan,0.10000,10.00000
0.10000,0.00001,nan,nan,0.00001,23.36000
0.10000,0.00010,nan,nan,0.00001,34.48000
0.10000,0.00100,nan,nan,0.00001,31.96000
0.10000,0.01000,nan,nan,0.00001,22.48000
0.10000,0.10000,nan,nan,0.00001,10.00000
0.10000,0.00001,nan,nan,0.00010,23.36000
0.10000,0.00010,nan,nan,0.00010,33.96000
0.10000,0.00100,nan,nan,0.00010,32.08000
0.10000,0.01000,nan,nan,0.00010,22.96000
0.10000,0.10000,nan,nan,0.00010,10.00000
0.10000,0.00001,nan,nan,0.00100,23.40000
0.10000,0.00010,nan,nan,0.00100,33.12000
0.10000,0.00100,nan,nan,0.00100,30.76000
0.10000,0.01000,nan,nan,0.00100,24.12000
0.10000,0.10000,nan,nan,0.00100,10.72000
0.10000,0.00001,nan,nan,0.01000,21.64000
0.10000,0.00010,nan,nan,0.01000,31.04000
0.10000,0.00100,nan,nan,0.01000,26.96000
0.10000,0.01000,nan,nan,0.01000,20.88000
0.10000,0.10000,nan,nan,0.01000,12.44000
0.10000,0.00001,nan,nan,0.10000,18.52000
0.10000,0.00010,nan,nan,0.10000,24.44000
0.10000,0.00100,nan,nan,0.10000,21.72000
0.10000,0.01000,nan,nan,0.10000,19.92000
0.10000,0.10000,nan,nan,0.10000,10.00000
